Rank	School	w	l	Pyth	AdjO	AdjORank	AdjD	AdjDRank	AdjT	AdjTRank	LuckRank	SOSPyth	SOSPythRank	OppO	OppORank	OppD	OppDRank	NCSOSPyth	NCSOSPythRank
1	WichitaSt.	34	0	0.9399	117.7	8	92.7	10	65	245	160	0.5255	129	105.1	131	104.2	147	0.5697	93
2	Michigan	25	8	0.8935	122.3	3	101.6	104	62.8	327	67	0.7217	4	108.5	25	99.8	4	0.5132	156
3	Duke	26	8	0.9126	124.4	2	101.4	102	66	196	240	0.7095	7	108.5	23	100.4	8	0.5749	91
4	Louisville	29	5	0.9515	117.4	10	90.6	6	68.9	58	276	0.571	108	105.9	106	103.3	105	0.3977	299
5	SaintLouis	26	6	0.8287	104.6	175	91.2	8	67.2	130	124	0.6021	89	106.1	100	102.3	80	0.4683	205
6	Massachusetts	24	8	0.786	108.4	94	96.8	43	71.6	14	71	0.6749	37	107.1	68	100.5	11	0.6412	43
7	Texas	23	10	0.8137	109.5	78	96.3	36	68.2	83	20	0.6835	31	109.2	9	102.1	69	0.4451	242
8	Kentucky	24	10	0.8844	114.9	19	96.3	35	66	195	310	0.688	27	108.4	32	101.2	28	0.5994	67
9	KansasSt.	20	12	0.8041	108	104	95.5	25	65.4	230	150	0.6667	44	109	12	102.6	88	0.4002	296
10	ArizonaSt.	21	11	0.8009	108.3	97	96	27	69.3	53	135	0.6637	48	107.6	52	101.5	46	0.4378	251
11	TBD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	NCState	21	13	0.7462	113.6	28	103.4	144	66.1	193	24	0.672	41	107.6	54	101.1	25	0.415	285
13	Manhattan	25	7	0.7433	106	139	96.7	42	69.5	44	191	0.4883	166	105	136	105.4	211	0.5929	71
14	Mercer	26	8	0.6579	107.5	116	101.6	103	65	246	163	0.3636	293	102.8	269	107.9	307	0.6153	58
15	Wofford	20	12	0.4482	100.9	238	102.8	131	62	339	126	0.3603	298	103.2	238	108.5	325	0.6799	24
16	TBD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
