Rank	School	w	l	Pyth	AdjO	AdjORank	AdjD	AdjDRank	LuckRank
1	WichitaSt.	34	0	0.9399	117.7	8	92.7	10	160
2	Michigan	25	8	0.8935	122.3	3	101.6	104	67
3	Duke	26	8	0.9126	124.4	2	101.4	102	240
4	Louisville	29	5	0.9515	117.4	10	90.6	6	276
5	SaintLouis	26	6	0.8287	104.6	175	91.2	8	124
6	Massachusetts	24	8	0.786	108.4	94	96.8	43	71
7	Texas	23	10	0.8137	109.5	78	96.3	36	20
8	Kentucky	24	10	0.8844	114.9	19	96.3	35	310
9	KansasSt.	20	12	0.8041	108	104	95.5	25	150
10	ArizonaSt.	21	11	0.8009	108.3	97	96	27	135
11	TBD	0	0	0	0	0	0	0	0
12	NCState	21	13	0.7462	113.6	28	103.4	144	24
13	Manhattan	25	7	0.7433	106	139	96.7	42	191
14	Mercer	26	8	0.6579	107.5	116	101.6	103	163
15	Wofford	20	12	0.4482	100.9	238	102.8	131	126
16	TBD	0	0	0	0	0	0	0	0
