Rank	School	w	l	Pyth	AdjO	AdjORank	AdjD	AdjDRank	AdjT	AdjTRank	LuckRank	SOSPyth	SOSPythRank	OppO	OppORank	OppD	OppDRank	NCSOSPyth	NCSOSPythRank
1	Florida	32	2	0.9476	115.8	17	90	5	63.2	316	53	0.6764	35	107.6	53	100.9	17	0.572	92
2	Kansas	24	9	0.9108	118.6	6	96.9	45	68.2	81	269	0.7686	1	111.1	1	100.1	5	0.7288	11
3	Syracuse	27	5	0.8925	113.2	34	94.2	18	61.3	343	99	0.6625	49	108.6	19	102.4	83	0.4636	214
4	UCLA	26	8	0.8885	116.8	14	97.5	49	70.1	32	219	0.6575	54	107.9	45	102	62	0.4266	266
5	VCU	26	8	0.8972	107.9	106	89.4	2	70.6	21	278	0.6376	68	106.7	78	101.6	53	0.5519	111
6	OhioSt.	25	9	0.8828	107.1	122	89.9	4	65.4	224	243	0.6743	38	108.2	37	101.6	48	0.4247	271
7	NewMexico	27	6	0.857	112.7	38	96.5	38	66.1	192	83	0.6001	92	106.7	79	103	98	0.5798	84
8	Colorado	23	11	0.7502	105.9	141	96.2	32	66.4	171	8	0.6873	28	108.2	38	101	23	0.5276	138
9	Pittsburgh	25	9	0.8841	115.1	18	96.5	37	64	291	285	0.6664	45	107.1	69	100.8	15	0.4172	284
10	Stanford	21	12	0.8181	112.5	39	98.7	60	66.5	167	170	0.696	19	108.4	33	100.9	16	0.5651	97
11	Dayton	23	10	0.7835	113.4	30	101.4	101	65.2	236	137	0.6011	91	106.2	98	102.4	84	0.4698	203
12	StephenFAustin	31	2	0.7642	111.6	47	100.8	95	63.6	304	73	0.3075	341	101.5	315	108.9	334	0.406	289
13	Tulsa	21	12	0.743	105.3	162	96	28	68.5	73	237	0.5215	136	104.4	165	103.6	117	0.5995	66
14	WesternMichigan	23	9	0.6183	106.7	128	102.3	118	66.9	144	22	0.4411	215	103.3	236	105.4	208	0.4114	286
15	EasternKentucky	24	9	0.5776	111.3	53	108.3	240	66.1	190	88	0.3759	280	103.7	200	108.4	323	0.431	262
16	TBD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
