Rank	School	w	l	Pyth	AdjO	AdjORank	AdjD	AdjDRank	LuckRank
1	Florida	32	2	0.9476	115.8	17	90	5	53
2	Kansas	24	9	0.9108	118.6	6	96.9	45	269
3	Syracuse	27	5	0.8925	113.2	34	94.2	18	99
4	UCLA	26	8	0.8885	116.8	14	97.5	49	219
5	VCU	26	8	0.8972	107.9	106	89.4	2	278
6	OhioSt.	25	9	0.8828	107.1	122	89.9	4	243
7	NewMexico	27	6	0.857	112.7	38	96.5	38	83
8	Colorado	23	11	0.7502	105.9	141	96.2	32	8
9	Pittsburgh	25	9	0.8841	115.1	18	96.5	37	285
10	Stanford	21	12	0.8181	112.5	39	98.7	60	170
11	Dayton	23	10	0.7835	113.4	30	101.4	101	137
12	StephenFAustin	31	2	0.7642	111.6	47	100.8	95	73
13	Tulsa	21	12	0.743	105.3	162	96	28	237
14	WesternMichigan	23	9	0.6183	106.7	128	102.3	118	22
15	EasternKentucky	24	9	0.5776	111.3	53	108.3	240	88
16	TBD	0	0	0	0	0	0	0	0
