Rank	School	w	l	Pyth	AdjO	AdjORank	AdjD	AdjDRank	AdjT	AdjTRank	LuckRank	SOSPyth	SOSPythRank	OppO	OppORank	OppD	OppDRank	NCSOSPyth	NCSOSPythRank
1	Arizona	30	4	0.954	113.1	35	86.9	1	64.4	273	123	0.6983	16	108.6	22	100.9	19	0.5666	95
2	Wisconsin	26	7	0.9	119.5	5	98.7	59	64.4	275	132	0.7253	3	108.4	31	99.6	1	0.6007	64
3	Creighton	26	7	0.9121	125.7	1	102.5	126	65.1	241	205	0.6827	32	107.4	60	100.5	9	0.5247	145
4	SanDiegoSt.	29	4	0.8787	108	103	90.9	7	64.1	285	26	0.5874	101	106.6	85	103.3	108	0.5622	100
5	Oklahoma	23	9	0.8538	116.9	13	100.3	81	71.3	17	210	0.699	15	108.9	13	101.2	30	0.5086	161
6	Baylor	24	11	0.8492	118.6	7	102	114	62.6	331	151	0.7091	8	109	11	100.9	18	0.499	174
7	Oregon	23	9	0.8524	117.1	12	100.6	90	68.8	63	250	0.6602	51	107.6	51	101.6	50	0.4671	206
8	Gonzaga	28	6	0.8804	111.5	49	93.7	13	66.1	189	199	0.5881	100	107.9	46	104.6	174	0.5414	128
9	OklahomaSt.	21	12	0.878	114	24	96	29	68.5	72	342	0.6777	34	108.3	35	101.5	47	0.4325	257
10	BYU	23	11	0.7919	113.7	27	101.2	100	72.2	8	200	0.6489	59	108.4	34	102.7	91	0.6805	23
11	Nebraska	19	12	0.7977	108.2	99	96	30	66.2	188	72	0.6866	30	106.8	77	99.8	3	0.4667	207
12	NorthDakotaSt.	25	6	0.7713	114.7	20	103.2	140	64.2	278	36	0.5156	139	105.9	105	105.3	204	0.6482	39
13	NewMexicoSt.	26	9	0.7325	112.1	42	102.7	129	66.5	170	221	0.4294	230	103.3	234	105.9	238	0.5762	88
14	LouisianaLafayette	23	11	0.6106	109.9	74	105.7	193	69.9	36	81	0.4962	160	104.5	158	104.6	177	0.6403	45
15	American	20	12	0.6608	103.1	199	97.3	46	61.4	342	251	0.4355	221	103.1	247	105.5	213	0.507	164
16	WeberSt.	19	11	0.4782	105.6	150	106.4	207	64.4	272	184	0.3453	310	103.4	218	109.3	344	0.6491	38
