Rank	School	w	l	Pyth	AdjO	AdjORank	AdjD	AdjDRank	LuckRank
1	Arizona	30	4	0.954	113.1	35	86.9	1	123
2	Wisconsin	26	7	0.9	119.5	5	98.7	59	132
3	Creighton	26	7	0.9121	125.7	1	102.5	126	205
4	SanDiegoSt.	29	4	0.8787	108	103	90.9	7	26
5	Oklahoma	23	9	0.8538	116.9	13	100.3	81	210
6	Baylor	24	11	0.8492	118.6	7	102	114	151
7	Oregon	23	9	0.8524	117.1	12	100.6	90	250
8	Gonzaga	28	6	0.8804	111.5	49	93.7	13	199
9	OklahomaSt.	21	12	0.878	114	24	96	29	342
10	BYU	23	11	0.7919	113.7	27	101.2	100	200
11	Nebraska	19	12	0.7977	108.2	99	96	30	72
12	NorthDakotaSt.	25	6	0.7713	114.7	20	103.2	140	36
13	NewMexicoSt.	26	9	0.7325	112.1	42	102.7	129	221
14	LouisianaLafayette	23	11	0.6106	109.9	74	105.7	193	81
15	American	20	12	0.6608	103.1	199	97.3	46	251
16	WeberSt.	19	11	0.4782	105.6	150	106.4	207	184
