rank	KenPRank	Team	Conf	W	L	Pyth	AdjO	AdjORank	AdjD	AdjDRank	AdjT	AdjTRank	Luck	LuckRank	SOSPyth	SOSPythRank	SOSOppO	SOSOppORank	SOSOppD	SOSOppDRank	NCSOSPyth	NCSOSPythRank
1	5	Villanova	BE	32	2	0.9571	120.8	4	92.2	13	64.5	181	0.044	73	0.6781	32	105.1	61	98.5	17	0.5112	160
2	4	Virginia	ACC	29	3	0.9588	112.2	26	85.4	1	58.2	349	0.032	103	0.676	34	105.6	41	99	31	0.5044	167
3	9	Oklahoma	B12	22	10	0.915	109.3	50	88.9	5	67.6	45	-0.046	288	0.7436	3	107.8	3	98.3	14	0.5449	121
4	18	Louisville	ACC	24	8	0.8757	105.9	95	89.4	6	65.5	136	0.027	121	0.6871	26	106.2	24	99.2	37	0.4522	238
5	12	NorthernIowa	MVC	30	3	0.9081	113.8	15	93.2	16	58.5	348	0.01	157	0.514	138	102	172	101.6	127	0.5169	155
6	28	Providence	BE	22	11	0.8459	110.7	38	95.5	48	65.7	125	0.043	74	0.7317	8	107.2	7	98.2	13	0.582	81
7	17	MichiganSt.	B10	23	10	0.8809	114	14	95.8	52	63.7	232	-0.051	299	0.6747	36	106.6	13	100	69	0.503	170
8	38	NorthCarolinaSt.	ACC	20	13	0.8113	111.5	30	98.2	89	64.4	188	-0.02	229	0.6918	23	106.4	17	99.2	36	0.4808	199
9	43	LSU	SEC	22	10	0.8007	106.8	75	94.7	37	69.8	13	-0.027	247	0.6128	75	103.8	98	99.7	53	0.3943	292
10	36	Georgia	SEC	21	11	0.8178	107	74	93.9	28	64.2	201	0.01	158	0.6999	20	106.1	29	98.6	19	0.5337	136
11	39	BoiseSt.	MWC	25	8	0.8091	109.4	48	96.5	64	63.7	233	0.027	119	0.5193	132	102.7	123	102	150	0.5295	141
12	102	Wyoming	MWC	25	9	0.6373	101.8	175	97	67	59.2	344	0.084	21	0.4551	187	100.8	252	102.4	162	0.2799	343
13	94	UCIrvine	BW	21	12	0.6559	103.9	123	98.3	92	63.7	235	-0.007	200	0.5256	128	102.6	134	101.7	133	0.5918	71
14	131	Albany	AE	24	8	0.5687	104.2	117	101.7	155	61.3	320	0.06	49	0.3489	324	98.4	334	103.9	243	0.522	150
15	149	Belmont	OVC	22	10	0.5364	107.9	64	106.5	258	67.1	63	0.071	34	0.4102	253	100.4	280	103.6	230	0.4853	192
16	129	LouisianaLafayette	SB	20	13	0.5708	103.6	135	101.1	140	69.8	12	-0.064	318	0.4194	230	99.8	304	102.7	178	0.4936	180
