Rank	KenPRank	Team	Conf	W	L	Pyth	AdjO	AdjORank	AdjD	AdjDRank	AdjT	AdjTRank	Luck	LuckRank	SOSPyth	SOSPythRank	SOSOppO	SOSOppORank	SOSOppD	SOSOppDRank	NCSOSPyth	NCSOSPythRank
1	1	Kentucky	SEC	34	0	0.9788	119.7	5	85.8	2	63.4	251	0.055	55	0.668	41	105.3	50	99.1	33	0.5664	96
2	11	Kansas	B12	26	8	0.9112	110.8	37	90.5	7	67.4	55	0.079	24	0.7948	1	108.5	1	96.4	1	0.7303	11
3	10	NotreDame	ACC	29	5	0.9128	122.2	2	99.7	112	64.1	204	0.064	45	0.6041	79	104.3	82	100.6	92	0.2421	347
4	33	Maryland	B10	27	6	0.8294	108.6	55	94.6	36	64.4	184	0.131	2	0.6498	57	105.6	40	100.1	74	0.4488	242
5	25	WestVirginia	B12	23	9	0.8539	111.2	33	95.4	47	68.7	26	0.05	63	0.7074	15	106.3	22	98.4	15	0.4365	256
6	23	Butler	BE	22	10	0.8625	107.5	67	91.7	10	63.8	231	-0.014	218	0.6834	29	107	9	100	70	0.4924	181
7	14	WichitaSt.	MVC	28	4	0.9045	113	20	92.9	15	62.1	298	0.018	138	0.5443	116	102	177	100.4	86	0.5951	64
8	34	Cincinnati	Amer	22	10	0.8243	106.7	76	93.3	18	60	341	-0.027	246	0.5699	99	102.2	162	99.7	57	0.5478	116
9	49	Purdue	B10	21	12	0.7826	108.5	57	97.1	69	64.5	180	0.01	159	0.6535	53	106.2	25	100.5	90	0.419	275
10	52	Indiana	B10	20	13	0.7766	116.6	10	104.7	216	66.6	84	-0.032	255	0.6293	71	104.9	67	100.2	77	0.37	317
11	20	Texas	B12	20	13	0.8725	110.3	42	93.3	19	62.3	294	-0.071	325	0.7154	13	106.1	27	98	10	0.4779	201
12	54	Buffalo	MAC	23	9	0.776	109.8	47	98.5	94	69.3	20	0.011	155	0.5759	94	104.6	75	101.8	143	0.5946	65
13	63	Valparaiso	Horz	28	5	0.75	103.8	129	94.3	31	62.8	275	0.07	36	0.4373	204	102	175	104.3	262	0.4059	283
14	120	Northeastern	CAA	23	11	0.5981	106	90	102.4	171	63.7	239	0.037	88	0.461	181	102.1	167	103.5	222	0.5575	108
15	88	NewMexicoSt.	WAC	23	10	0.6675	104.1	120	97.9	87	63.7	234	-0.051	300	0.3476	326	99.3	315	104.9	296	0.5293	143
16	145	Manhattan	MAAC	19	13	0.5412	100.9	196	99.5	109	68.2	30	0.005	179	0.4064	257	100.2	288	103.6	229	0.4723	207
