rank	KenPRank	Team	Conf	W	L	Pyth	AdjO	AdjORank	AdjD	AdjDRank	AdjT	AdjTRank	Luck	LuckRank	SOSPyth	SOSPythRank	SOSOppO	SOSOppORank	SOSOppD	SOSOppDRank	NCSOSPyth	NCSOSPythRank
1	3	Wisconsin	B10	30	3	0.9607	124.2	1	94.1	29	58.8	347	0.007	170	0.697	21	105.8	35	98.4	16	0.6288	34
2	2	Arizona	P12	31	3	0.9674	116	11	86.4	3	66.7	78	-0.028	250	0.6482	59	105.1	63	99.6	50	0.5044	168
3	15	Baylor	B12	24	9	0.9039	114.8	13	94.5	33	62.2	296	-0.018	226	0.7357	6	106.4	16	97.3	3	0.499	173
4	16	NorthCarolina	ACC	24	11	0.902	115.3	12	95	45	70	10	-0.034	267	0.7664	2	108.1	2	97.5	6	0.6949	15
5	29	Arkansas	SEC	26	8	0.8417	113	21	97.7	81	70	9	0.047	67	0.6464	62	105.2	58	99.8	59	0.448	243
6	26	Xavier	BE	21	13	0.8519	111.9	28	96.1	55	65.7	128	-0.063	317	0.7252	10	106.7	12	98	11	0.55	112
7	30	VCU	A10	26	9	0.8401	108.1	61	93.6	23	67.1	64	0.059	51	0.6682	39	105.8	36	99.5	45	0.7191	13
8	46	Oregon	P12	25	9	0.7973	113.3	16	100.6	134	66.5	87	0.127	4	0.6531	54	105.5	47	99.8	61	0.4333	260
9	37	OklahomaSt.	B12	18	13	0.8142	109.4	49	96.2	58	63.3	259	-0.034	265	0.7387	5	105.7	39	96.6	2	0.4679	213
10	21	OhioSt.	B10	23	10	0.8682	111.6	29	94.8	40	66.4	96	-0.051	298	0.6208	72	105.1	60	100.7	96	0.3411	329
11	31	BYU	WCC	25	9	0.8396	116.7	9	101.1	139	70.4	6	-0.042	280	0.6111	77	104.9	68	100.9	102	0.5915	72
12	90	Wofford	SC	28	6	0.6618	103.3	143	97.5	78	61.5	316	0.141	1	0.4111	248	102.3	154	105.5	323	0.6586	25
13	78	Harvard	Ivy	22	7	0.706	102	171	94.5	34	61.5	317	0.114	9	0.4991	149	102.3	153	102.3	161	0.5322	138
14	71	GeorgiaSt.	SB	24	9	0.7345	108.4	58	99.2	106	63.3	258	-0.008	202	0.4462	195	100	297	101.9	145	0.6014	53
15	207	TexasSouthern	SWAC	22	12	0.4116	101.7	177	104.9	220	63.9	222	0.131	3	0.3576	319	99.1	321	104.3	264	0.8275	1
16	148	CoastalCarolina	BSth	24	9	0.5372	103.5	136	102.2	164	64.4	190	0.006	173	0.3446	329	100.4	282	106.1	338	0.4843	193
