Rank School w l Pyth AdjO AdjORank AdjD AdjDRank AdjT AdjTRank LuckRank SOSPyth SOSPythRank OppO OppORank OppD OppDRank NCSOSPyth NCSOSPythRank
1 Virginia 28 6 0.9418 114 25 89.5 3 61 345 113 0.6929 22 108.5 24 101.1 26 0.5432 123
2 Villanova 28 4 0.9196 115.8 16 93.7 14 67.1 132 21 0.694 21 110 3 102.4 82 0.5817 81
3 IowaSt. 26 7 0.8758 115.9 15 97.8 54 71.7 13 34 0.7214 5 110.2 2 101.4 42 0.5276 137
4 MichiganSt. 26 8 0.9038 117.3 11 96.5 39 65.6 214 206 0.7045 11 108.5 26 100.6 12 0.512 158
5 Cincinnati 27 6 0.8701 107.9 109 91.4 9 63.2 317 74 0.5901 98 106.1 99 102.8 92 0.403 290
6 NorthCarolina 23 9 0.8645 111 58 94.5 22 70.9 18 168 0.6867 29 109.2 10 102 65 0.5298 135
7 Connecticut 26 8 0.8688 109.5 80 92.9 11 65 247 54 0.6602 50 107.5 57 101.4 44 0.5093 159
8 Memphis 23 9 0.802 110.4 66 97.8 53 69.4 50 92 0.6413 63 106.9 73 101.7 56 0.5125 157
9 GeorgeWashington 24 8 0.8017 109.4 81 96.9 44 67.3 121 37 0.6196 77 106.4 90 102 66 0.495 179
10 SaintJoseph 24 9 0.7935 110.3 68 98.1 55 65.7 209 16 0.6364 69 106.7 81 101.7 54 0.5072 163
11 Providence 23 11 0.8117 114.3 22 100.6 92 64.9 251 41 0.7033 12 108.6 20 100.8 14 0.5133 155
12 Harvard 26 4 0.8402 111.2 55 96.3 33 65.1 242 129 0.4664 183 103.3 230 104.5 170 0.5314 134
13 Delaware 25 9 0.6366 110.9 60 105.6 192 72.1 10 55 0.4858 168 104.8 145 105.3 206 0.5899 72
14 NorthCarolinaCentral 28 5 0.7188 107.5 117 99 63 64.2 277 95 0.2744 348 98.3 350 107 276 0.4913 183
15 Milwaukee 21 13 0.4891 104.5 177 104.9 172 67.5 112 5 0.508 149 104 181 103.7 122 0.4628 217
16 CoastalCarolina 21 12 0.3552 97.3 298 102.5 124 67.2 131 84 0.291 344 101.7 309 109.9 348 0.3897 304
