Rk.	School	W	L	RPI	SOSRank	SOS
1	Syracuse	30	1	0.6734	28	0.5721
2	Kentucky	30	1	0.6680	36	0.5648
3	NorthCarolina	27	4	0.6610	5	0.5925
4	Duke	26	5	0.6568	2	0.6073
5	MichiganState	23	7	0.6511	1	0.6115
6	Kansas	26	5	0.6490	7	0.5880
7	Marquette	25	6	0.6399	16	0.5767
8	OhioState	25	6	0.6374	10	0.5838
9	Baylor	24	6	0.6289	18	0.5766
10	Georgetown	21	7	0.6282	9	0.5846
11	Indiana	24	7	0.6267	27	0.5723
12	Michigan	22	8	0.6262	11	0.5836
13	Temple	24	6	0.6252	51	0.5565
14	UNLV	23	7	0.6244	46	0.5585
15	WichitaState	26	5	0.6236	54	0.5548
16	Missouri	27	4	0.6229	81	0.5374
